model,dataset,feature_set,samples,precision,recall,f1,tp,fp,fn,tn,duration_h,true_events,reported_events,matched_events,missed_events,false_reported_events,event_precision,event_recall,event_f1,unmatched_overlapping_reports,duplicate_detection_rate,mean_matched_iou,mean_signed_onset_error_s,false_events_per_hour,mode,threshold,per_flight_f1_min,per_flight_f1_max,macro_type_recall,objective
local_outlier_factor,V2 validation,temporal_spectral_v2,36000,0.9295669487307118,0.9663648124191462,0.947608778383864,3735,283,130,31852,1.0,25,30,25,0,5,0.8333333333333334,1.0,0.9090909090909092,5,0.1666666666666666,0.915584463186936,-0.1719999999999973,5.000000000000001,weighted,2.0,0.0,0.9576659038901602,0.9877800650631968,0.944087674931844
local_outlier_factor,V2 validation,temporal_spectral_v2,36000,0.9332831703034864,0.9627425614489004,0.9477840040753948,3721,266,144,31869,1.0,25,30,25,0,5,0.8333333333333334,1.0,0.9090909090909092,5,0.1666666666666666,0.91567396792667,-0.1319999999999987,5.000000000000001,ml,3.0,0.0,0.9603676048248132,0.9865107994240307,0.9439214346497762
local_outlier_factor,V2 validation,temporal_spectral_v2,36000,0.9332831703034864,0.9627425614489004,0.9477840040753948,3721,266,144,31869,1.0,25,30,25,0,5,0.8333333333333334,1.0,0.9090909090909092,5,0.1666666666666666,0.91567396792667,-0.1319999999999987,5.000000000000001,or,3.0,0.0,0.9603676048248132,0.9865107994240307,0.9439214346497762
isolation_forest,V2 validation,temporal_spectral_v2,36000,0.9373255518903832,0.9557567917205692,0.946451447604407,3694,247,171,31888,1.0,25,30,25,0,5,0.8333333333333334,1.0,0.9090909090909092,5,0.1666666666666666,0.914745769924164,-0.0440000000000029,5.000000000000001,weighted,1.5,0.0,0.9589832466782208,0.9830505039731214,0.9425630973241004
none,V2 validation,temporal_spectral_v2,36000,0.9400510204081632,0.9534282018111256,0.9466923570969814,3685,235,180,31900,1.0,25,30,25,0,5,0.8333333333333334,1.0,0.9090909090909092,5,0.1666666666666666,0.916748843306282,0.0279999999999964,5.000000000000001,statistical,2.0,0.0,0.9590305828043856,0.981366753773132,0.9423468020303898
isolation_forest,V2 validation,temporal_spectral_v2,36000,0.9400510204081632,0.9534282018111256,0.9466923570969814,3685,235,180,31900,1.0,25,30,25,0,5,0.8333333333333334,1.0,0.9090909090909092,5,0.1666666666666666,0.916748843306282,0.0279999999999964,5.000000000000001,or,2.0,0.0,0.9590305828043856,0.981366753773132,0.9423468020303898
local_outlier_factor,V2 validation,temporal_spectral_v2,36000,0.9131910766246364,0.974385510996119,0.9427963449743396,3766,358,99,31777,1.0,25,30,25,0,5,0.8333333333333334,1.0,0.9090909090909092,4,0.1333333333333333,0.9110718194941484,-0.3520000000000007,5.000000000000001,weighted,1.5,0.0,0.9523809523809524,0.9908798464081916,0.9423014144960808
none,V2 validation,temporal_spectral_v2,36000,0.9162393162393162,0.9707632600258732,0.942713567839196,3752,343,113,31792,1.0,25,30,25,0,5,0.8333333333333334,1.0,0.9090909090909092,4,0.1333333333333333,0.9110480538727822,-0.2839999999999986,5.000000000000001,statistical,1.5,0.0,0.952921157118548,0.9891766839101914,0.941919393428909
isolation_forest,V2 validation,temporal_spectral_v2,36000,0.9162393162393162,0.9707632600258732,0.942713567839196,3752,343,113,31792,1.0,25,30,25,0,5,0.8333333333333334,1.0,0.9090909090909092,4,0.1333333333333333,0.9110480538727822,-0.2839999999999986,5.000000000000001,or,1.5,0.0,0.952921157118548,0.9891766839101914,0.941919393428909
local_outlier_factor,V2 validation,temporal_spectral_v2,36000,0.9423571796191456,0.947477360931436,0.9449103341504322,3662,224,203,31911,1.0,25,30,25,0,5,0.8333333333333334,1.0,0.9090909090909092,5,0.1666666666666666,0.9160361049231918,0.0799999999999954,5.000000000000001,weighted,3.0,0.0,0.9611594202898552,0.9801493253693137,0.9412123048763515
local_outlier_factor,V2 validation,temporal_spectral_v2,36000,0.908084696823869,0.9764553686934024,0.9410297967834432,3774,382,91,31753,1.0,25,31,25,0,6,0.8064516129032258,1.0,0.8928571428571428,4,0.1290322580645161,0.9071358306180624,-0.3880000000000007,6.000000000000001,ml,1.5,0.0,0.95578231292517,0.9916051410591435,0.9366930694606932
local_outlier_factor,V2 validation,temporal_spectral_v2,36000,0.9041916167664672,0.9767141009055628,0.9390547263681592,3775,400,90,31735,1.0,25,31,25,0,6,0.8064516129032258,1.0,0.8928571428571428,4,0.1290322580645161,0.90709153885417,-0.3920000000000007,6.000000000000001,or,1.5,0.0,0.9536199095022624,0.9916958028905124,0.935723666619325
isolation_forest,V2 validation,temporal_spectral_v2,36000,0.9537746170678336,0.9021992238033636,0.9272703097992288,3487,169,378,31966,1.0,25,31,25,0,6,0.8064516129032258,1.0,0.8928571428571428,6,0.1935483870967742,0.9049144177260996,0.3319999999999984,6.000000000000001,weighted,2.0,0.0,0.9535714285714284,0.9596730368473174,0.9234269051262208
